Expert name,Domain,Domain skills,Years of experience,Previous interviews,Qualifications,Publications,Communication,Professionality,Expert Number of Skills,Expert ID
Dr. Arjun Mehta,"Aerospace & Aeronautics, Armaments & Combat Engineering, Guidance & Control Systems","Aerodynamics, Material Science, Flight Mechanics, CAD & Simulation, Propulsion Systems, Ballistics, Testing & Validation, Explosive Chemistry, Systems Integration, Mechanical Design, Inertial Navigation, Control Theory",9,4,PhD,11,8.0,9.0,12,015
Dr. Disha Bansal,"Robotics & Autonomous Systems, Materials & Metallurgy","Sensors & Actuators, Robotics Engineering, Path Planning, Control Systems, AI & Machine Learning, Composite Materials, Material Science, Failure Analysis, Nanotechnology",11,5,PhD,9,9.0,8.0,9,016
Dr. Mukul Jain,"Naval Systems, Robotics & Autonomous Systems","Sonar Technology, Marine Engineering, Weapon Integration, Hydrodynamics, Submarine Technology, Sensors & Actuators, AI & Machine Learning, Path Planning, Control Systems",13,7,PhD,14,9.0,9.0,9,017
Dr. Saisha Dixit,Chemical & Biological Defense,"Protective Gear Design, Biotechnology, Detection Systems, Decontamination",10,4,PhD,8,8.0,9.0,4,018
Dr. Aarush Dutt,Artificial Intelligence & Machine Learning,"Natural Language Processing, Machine Learning Algorithms, Computer Vision, Predictive Analytics",11,6,PhD,13,9.0,9.0,4,019
Siddharth Srivastava,Missile & Strategic Systems,"Guidance & Control, Propulsion Technology, System Integration, Simulation & Modeling",12,5,Masters,20,8.0,9.0,4,020
Dr. Ishita Gupta,"Life Sciences, Artificial Intelligence & Machine Learning, Aerospace & Aeronautics","Biotechnology, Biomedical Engineering, Physiology, Nutrition Science, Environmental Science, Machine Learning Algorithms, Predictive Analytics, Computer Vision, Autonomous Systems, Natural Language Processing, CAD & Simulation",15,7,PhD,30,9.0,8.0,11,021
Yuvraj Singh,Cybersecurity & Information Technology,"Ethical Hacking, Simulation & Modeling, Network Security, Cryptography",10,4,Masters,25,7.0,8.0,4,022
Dr. Shruti Chhabria,"Guidance & Control Systems, Naval Systems","Sensor Fusion, Inertial Navigation, Embedded Systems, Control Theory, Algorithm Development, Hydrodynamics, Submarine Technology",8,3,PhD,40,9.0,9.0,7,023
Tanishq Goyal,"Nuclear Technology, Armaments & Combat Engineering, Artificial Intelligence & Machine Learning","Nuclear Engineering, Safety Protocols, Nuclear Physics, Nuclear Weapons Design, Radiation Protection, Ballistics, Mechanical Design, Testing & Validation, Systems Integration, Explosive Chemistry, Machine Learning Algorithms, Computer Vision",12,6,Masters,28,8.0,8.0,12,024
Dr. Nalini Pandey,"Materials & Metallurgy, Electronics & Communication, Missile & Strategic Systems","Composite Materials, Metallurgy, Material Science, Nanotechnology, Failure Analysis, RF Engineering, Embedded Systems, Secure Communication, Electronic Warfare, Antenna Design, System Integration, Guidance & Control",11,5,PhD,35,9.0,9.0,12,025
Kabeer Seth,"Materials & Metallurgy, Chemical & Biological Defense","Metallurgy, Failure Analysis, Material Science, Composite Materials, Nanotechnology, Biotechnology",9,4,Masters,22,8.0,8.0,6,026
Dr. Ridhi Jalan,"Electronics & Communication, Artificial Intelligence & Machine Learning","RF Engineering, Embedded Systems, Antenna Design, Secure Communication, Electronic Warfare, Predictive Analytics",10,5,PhD,38,9.0,9.0,6,027
Aryan Khanna,Aerospace & Aeronautics,"Aerodynamics, Propulsion Systems, CAD & Simulation, Material Science, Flight Mechanics",11,6,Masters,29,8.0,8.0,5,028
Dr. Zoya Zaveri,"Electronics & Communication, Cybersecurity & Information Technology","Embedded Systems, Secure Communication, RF Engineering, Antenna Design, Electronic Warfare, Network Security, Ethical Hacking",12,7,PhD,42,9.0,9.0,7,029
Dr. Mohit Rathi,"Artificial Intelligence & Machine Learning, Armaments & Combat Engineering, Materials & Metallurgy","Natural Language Processing, Computer Vision, Predictive Analytics, Autonomous Systems, Machine Learning Algorithms, Systems Integration, Testing & Validation, Mechanical Design, Ballistics, Explosive Chemistry, Nanotechnology, Metallurgy",12,5,PhD,10,8.0,9.0,12,030
Sahil Mangal,"Missile & Strategic Systems, Artificial Intelligence & Machine Learning, Chemical & Biological Defense","System Integration, Aerodynamics, Propulsion Technology, Simulation & Modeling, Guidance & Control, Predictive Analytics, Natural Language Processing, Computer Vision, Autonomous Systems, Machine Learning Algorithms, Detection Systems, Biotechnology",15,7,Masters,8,9.0,8.0,12,031
Dr. Kanishka Jain,"Armaments & Combat Engineering, Artificial Intelligence & Machine Learning, Naval Systems","Explosive Chemistry, Ballistics, Systems Integration, Mechanical Design, Testing & Validation, Autonomous Systems, Machine Learning Algorithms, Computer Vision, Natural Language Processing, Predictive Analytics, Hydrodynamics, Submarine Technology",10,4,PhD,12,7.0,9.0,12,032
Reetika Suri,Nuclear Technology,"Radiation Protection, Safety Protocols, Nuclear Engineering, Nuclear Weapons Design",12,6,Masters,9,8.0,8.0,4,033
Dr. Shreya Gupta,Naval Systems,"Submarine Technology, Weapon Integration, Sonar Technology, Hydrodynamics, Marine Engineering",10,5,PhD,11,9.0,9.0,5,034
Paras Chhabria,Chemical & Biological Defense,"Protective Gear Design, Chemical Engineering, Detection Systems, Decontamination",12,7,Masters,10,8.0,8.0,4,035
Dr. Kavya Sethi,"Armaments & Combat Engineering, Missile & Strategic Systems","Explosive Chemistry, Mechanical Design, Systems Integration, Testing & Validation, Ballistics, Aerodynamics",10,4,PhD,12,9.0,9.0,6,036
Riya Saini,"Life Sciences, Materials & Metallurgy","Nutrition Science, Physiology, Environmental Science, Biomedical Engineering, Biotechnology, Material Science",15,8,Masters,9,8.0,8.0,6,037
Dr. Ayush Mehra,Nuclear Technology,"Nuclear Weapons Design, Nuclear Engineering, Nuclear Physics, Radiation Protection, Safety Protocols",12,6,PhD,11,9.0,9.0,5,038
Srishti Batra,Naval Systems,"Hydrodynamics, Sonar Technology, Weapon Integration, Submarine Technology",15,5,Masters,12,8.0,9.0,4,039
Vedant Mehta,"Aerospace & Aeronautics, Artificial Intelligence & Machine Learning","Flight Mechanics, CAD & Simulation, Material Science, Propulsion Systems, Aerodynamics, Machine Learning Algorithms, Natural Language Processing, Computer Vision",12,5,Masters,20,8.0,9.0,8,040
Dr. Hansika Khurana,"Electronics & Communication, Missile & Strategic Systems, Guidance & Control Systems","Electronic Warfare, Embedded Systems, Antenna Design, RF Engineering, Secure Communication, Simulation & Modeling, Guidance & Control, System Integration, Propulsion Technology, Aerodynamics, Algorithm Development, Embedded Systems",8,3,PhD,15,7.0,8.0,12,041
Jai Bhargava,"Energy Systems, Naval Systems","Renewable Energy, Power Electronics, Thermal Management, Battery Technology, Directed Energy, Weapon Integration",10,4,Masters,12,6.0,9.0,6,042
Dr. Khushi Mishra,"Life Sciences, Nuclear Technology","Biotechnology, Environmental Science, Biomedical Engineering, Physiology, Nutrition Science, Safety Protocols",11,6,PhD,18,8.0,9.0,6,043
Tushar Goel,Armaments & Combat Engineering,"Systems Integration, Testing & Validation, Ballistics, Explosive Chemistry, Mechanical Design",9,2,Masters,10,7.0,8.0,5,044
Dr. Nikhil Aggarwal,"Missile & Strategic Systems, Simulation & Training","Aerodynamics, Guidance & Control, Simulation & Modeling, System Integration, Propulsion Technology, Game Design, Simulation Modeling",13,7,PhD,22,9.0,9.0,7,045
Savita Jha,"Energy Systems, Guidance & Control Systems","Battery Technology, Directed Energy, Thermal Management, Renewable Energy, Power Electronics, Control Theory, Embedded Systems",12,5,Masters,16,8.0,9.0,7,046
Dr. Utkarsh Jain,Simulation & Training,"Virtual Reality (VR), Flight Simulation, Game Design, Scenario Development, Simulation Modeling",10,3,PhD,14,7.0,8.0,5,047
Ayushman Khanna,"Cybersecurity & Information Technology, Armaments & Combat Engineering","Simulation & Modeling, Ethical Hacking, Cyber Defense, Cryptography, Network Security, Mechanical Design, Systems Integration, Ballistics",11,6,Masters,19,8.0,9.0,8,048
Dr. Nandini Khurana,"Life Sciences, Robotics & Autonomous Systems, Materials & Metallurgy","Environmental Science, Nutrition Science, Physiology, Biomedical Engineering, Biotechnology, AI & Machine Learning, Robotics Engineering, Sensors & Actuators, Control Systems, Path Planning, Composite Materials, Failure Analysis",9,2,PhD,11,7.0,8.0,12,049
Aditya Sethi,"Life Sciences, Artificial Intelligence & Machine Learning","Environmental Science, Physiology, Nutrition Science, Biomedical Engineering, Biotechnology, Computer Vision, Autonomous Systems",14,8,Masters,24,9.0,9.0,7,050
Rudra Sen,"Nuclear Technology, Energy Systems, Missile & Strategic Systems","Safety Protocols, Nuclear Weapons Design, Nuclear Physics, Radiation Protection, Nuclear Engineering, Renewable Energy, Directed Energy, Battery Technology, Power Electronics, Thermal Management, Aerodynamics",12,5,Masters,20,8.0,9.0,11,051
Dr. Sanvi Agrawal,Cybersecurity & Information Technology,"Simulation & Modeling, Cyber Defense, Ethical Hacking, Cryptography",12,5,PhD,20,8.0,9.0,4,052
Kanishka Jaini,"Chemical & Biological Defense, Energy Systems","Decontamination, Protective Gear Design, Detection Systems, Chemical Engineering, Biotechnology, Renewable Energy, Power Electronics, Thermal Management, Battery Technology, Directed Energy",10,4,Masters,15,7.0,8.0,10,053
Dr. Pranav Saini,Energy Systems,"Thermal Management, Power Electronics, Renewable Energy, Battery Technology",15,6,PhD,25,9.0,9.0,4,054
Ananya Dwivedi,"Missile & Strategic Systems, Energy Systems","Aerodynamics, Propulsion Technology, Simulation & Modeling, System Integration, Guidance & Control, Power Electronics, Battery Technology, Renewable Energy",12,5,Masters,18,8.0,8.0,8,055
Dr. Harsh Rajput,"Energy Systems, Chemical & Biological Defense, Electronics & Communication","Power Electronics, Battery Technology, Renewable Energy, Thermal Management, Directed Energy, Protective Gear Design, Chemical Engineering, Decontamination, Biotechnology, Detection Systems, RF Engineering",10,4,PhD,22,9.0,9.0,11,056
Vibha Jain,Armaments & Combat Engineering,"Systems Integration, Explosive Chemistry, Mechanical Design, Testing & Validation",15,6,Masters,28,9.0,9.0,4,057
Dr. Sourav Mishra,"Aerospace & Aeronautics, Life Sciences","Flight Mechanics, CAD & Simulation, Propulsion Systems, Material Science, Aerodynamics, Biotechnology, Biomedical Engineering, Nutrition Science",12,5,PhD,20,8.0,8.0,8,058
Aaradhya Dwivedi,Artificial Intelligence & Machine Learning,"Predictive Analytics, Computer Vision, Natural Language Processing, Autonomous Systems",10,4,Masters,15,7.0,8.0,4,059
Dr. Shashwat Jain,"Guidance & Control Systems, Nuclear Technology","Control Theory, Sensor Fusion, Inertial Navigation, Embedded Systems, Algorithm Development, Nuclear Physics",15,6,PhD,25,9.0,9.0,6,060
Kalyani Jaiswal,"Materials & Metallurgy, Artificial Intelligence & Machine Learning","Metallurgy, Material Science, Nanotechnology, Composite Materials, Failure Analysis, Machine Learning Algorithms, Autonomous Systems, Predictive Analytics, Natural Language Processing",10,4,Masters,18,8.0,8.0,9,061
Dr. Jhanvi Kaul,"Materials & Metallurgy, Life Sciences, Chemical & Biological Defense","Metallurgy, Composite Materials, Nanotechnology, Failure Analysis, Material Science, Environmental Science, Biomedical Engineering, Nutrition Science, Physiology, Biotechnology, Chemical Engineering",12,5,PhD,20,9.0,9.0,11,062
Nayan Jain,Electronics & Communication,"RF Engineering, Embedded Systems, Antenna Design, Secure Communication, Electronic Warfare",15,6,Masters,22,8.0,8.0,5,063
Dr. Siddharth Kaul,Artificial Intelligence & Machine Learning,"Computer Vision, Natural Language Processing, Predictive Analytics, Machine Learning Algorithms",12,5,PhD,18,9.0,9.0,4,064
Anya Malhotra,"Robotics & Autonomous Systems, Aerospace & Aeronautics, Cybersecurity & Information Technology","Robotics Engineering, AI & Machine Learning, Control Systems, Path Planning, Sensors & Actuators, Aerodynamics, CAD & Simulation, Material Science, Propulsion Systems, Flight Mechanics, Cyber Defense",10,4,Masters,15,7.0,8.0,11,065
Dr. Vansh Saini,"Electronics & Communication, Artificial Intelligence & Machine Learning, Naval Systems","RF Engineering, Embedded Systems, Electronic Warfare, Secure Communication, Antenna Design, Autonomous Systems, Natural Language Processing, Computer Vision, Predictive Analytics, Machine Learning Algorithms, Submarine Technology",15,6,PhD,25,9.0,9.0,11,066
Naina Khurana,"Naval Systems, Life Sciences","Marine Engineering, Submarine Technology, Sonar Technology, Hydrodynamics, Weapon Integration, Physiology",12,5,Masters,20,8.0,8.0,6,067
Dr. Anurag Sethi,Simulation & Training,"Game Design, Flight Simulation, Virtual Reality (VR), Simulation Modeling, Scenario Development",10,4,PhD,18,9.0,9.0,5,068
Amar Kaul,Cybersecurity & Information Technology,"Cyber Defense, Ethical Hacking, Simulation & Modeling, Network Security",15,6,Masters,22,8.0,8.0,4,069
Dr. Kavya Mittal,"Life Sciences, Artificial Intelligence & Machine Learning","Environmental Science, Biotechnology, Physiology, Biomedical Engineering, Nutrition Science, Predictive Analytics",10,4,PhD,20,9.0,9.0,6,070
Dr. Bharat Khurana,"Cybersecurity & Information Technology, Armaments & Combat Engineering","Cyber Defense, Cryptography, Ethical Hacking, Network Security, Simulation & Modeling, Mechanical Design, Explosive Chemistry, Testing & Validation, Systems Integration, Ballistics",12,7,PhD,23,8.0,9.0,10,071
Harshitha Saini,"Life Sciences, Energy Systems, Simulation & Training","Biomedical Engineering, Physiology, Environmental Science, Biotechnology, Nutrition Science, Directed Energy, Thermal Management, Battery Technology, Renewable Energy, Power Electronics, Simulation Modeling",10,5,Masters,15,7.0,8.0,11,072
Dr. Aryan Pandey,"Guidance & Control Systems, Artificial Intelligence & Machine Learning","Control Theory, Embedded Systems, Sensor Fusion, Algorithm Development, Inertial Navigation, Autonomous Systems, Predictive Analytics, Computer Vision",15,8,PhD,30,9.0,9.0,8,073
Punit Sethi,"Guidance & Control Systems, Simulation & Training","Inertial Navigation, Sensor Fusion, Control Theory, Embedded Systems, Algorithm Development, Flight Simulation, Game Design, Virtual Reality (VR)",12,6,Masters,20,8.0,8.0,8,074
Dr. Sahil Mittal,"Armaments & Combat Engineering, Materials & Metallurgy","Ballistics, Systems Integration, Explosive Chemistry, Mechanical Design, Testing & Validation, Material Science, Composite Materials, Failure Analysis, Metallurgy",10,4,PhD,25,7.0,9.0,9,075
Prateek Jain,"Robotics & Autonomous Systems, Armaments & Combat Engineering","AI & Machine Learning, Robotics Engineering, Sensors & Actuators, Path Planning, Control Systems, Ballistics, Mechanical Design",14,7,Masters,18,8.0,9.0,7,076
Dr. Pooja Bajaj,"Nuclear Technology, Energy Systems","Nuclear Weapons Design, Nuclear Engineering, Nuclear Physics, Radiation Protection, Safety Protocols, Directed Energy, Renewable Energy, Thermal Management",13,6,PhD,28,9.0,9.0,8,077
Yash Kumar,"Robotics & Autonomous Systems, Electronics & Communication","Control Systems, Sensors & Actuators, AI & Machine Learning, Robotics Engineering, Path Planning, Embedded Systems, Antenna Design, RF Engineering, Electronic Warfare",11,5,Masters,22,8.0,8.0,9,078
Dr. Kanishka Kaul,"Robotics & Autonomous Systems, Energy Systems","Path Planning, Robotics Engineering, AI & Machine Learning, Sensors & Actuators, Control Systems, Renewable Energy, Battery Technology, Power Electronics, Thermal Management, Directed Energy",9,3,PhD,24,7.0,9.0,10,079
Dr. Anmol Kaul,Energy Systems,"Directed Energy, Battery Technology, Thermal Management, Renewable Energy",15,8,PhD,25,9.0,8.0,4,080
Tushar Jain,"Cybersecurity & Information Technology, Aerospace & Aeronautics","Simulation & Modeling, Ethical Hacking, Network Security, Cryptography, Cyber Defense, Material Science",12,5,Masters,18,8.0,9.0,6,081
Dr. Riddhima Sethi,"Energy Systems, Artificial Intelligence & Machine Learning","Renewable Energy, Power Electronics, Directed Energy, Battery Technology, Thermal Management, Predictive Analytics, Machine Learning Algorithms, Computer Vision",10,4,PhD,12,7.0,8.0,8,082
Rohan Jain,"Naval Systems, Cybersecurity & Information Technology, Armaments & Combat Engineering","Weapon Integration, Submarine Technology, Hydrodynamics, Sonar Technology, Marine Engineering, Cyber Defense, Cryptography, Network Security, Simulation & Modeling, Ethical Hacking, Testing & Validation, Mechanical Design",8,3,Masters,10,6.0,7.0,12,083
Dr. Anushka Kaul,"Missile & Strategic Systems, Nuclear Technology, Aerospace & Aeronautics","Simulation & Modeling, Guidance & Control, Aerodynamics, Propulsion Technology, System Integration, Radiation Protection, Safety Protocols, Nuclear Engineering, Nuclear Weapons Design, Nuclear Physics, Propulsion Systems",9,2,PhD,15,8.0,9.0,11,084
Shruti Sethi,"Materials & Metallurgy, Cybersecurity & Information Technology","Metallurgy, Nanotechnology, Composite Materials, Failure Analysis, Material Science, Cryptography, Simulation & Modeling, Network Security",11,6,Masters,20,9.0,8.0,8,085
Dr. Vedant Mittal,"Electronics & Communication, Robotics & Autonomous Systems, Nuclear Technology","Secure Communication, RF Engineering, Antenna Design, Electronic Warfare, Embedded Systems, Robotics Engineering, Sensors & Actuators, Path Planning, AI & Machine Learning, Control Systems, Nuclear Engineering",7,1,PhD,8,5.0,6.0,11,086
Vidhi Jain,"Nuclear Technology, Energy Systems","Nuclear Engineering, Safety Protocols, Nuclear Weapons Design, Radiation Protection, Nuclear Physics, Battery Technology, Thermal Management",13,7,Masters,22,8.0,9.0,7,087
Dr. Pooja Mehta,Aerospace & Aeronautics,"Propulsion Systems, CAD & Simulation, Flight Mechanics, Aerodynamics",6,2,PhD,11,7.0,8.0,4,088
Sudarshan Saini,Energy Systems,"Directed Energy, Thermal Management, Battery Technology, Renewable Energy, Power Electronics",5,1,Masters,9,6.0,7.0,5,089
Dr. Kavya Jaini,"Guidance & Control Systems, Materials & Metallurgy, Simulation & Training","Sensor Fusion, Inertial Navigation, Control Theory, Algorithm Development, Embedded Systems, Failure Analysis, Composite Materials, Material Science, Metallurgy, Nanotechnology, Game Design, Simulation Modeling",14,9,PhD,28,9.0,8.0,12,090
Dr. Rohan Aggarwal,Missile & Strategic Systems,"Simulation & Modeling, Guidance & Control, Propulsion Technology, Aerodynamics",15,12,PhD,25,8.0,9.0,4,091
Dr. Kanishka Sethi,"Armaments & Combat Engineering, Robotics & Autonomous Systems, Chemical & Biological Defense","Ballistics, Explosive Chemistry, Testing & Validation, Systems Integration, Mechanical Design, Control Systems, Path Planning, AI & Machine Learning, Sensors & Actuators, Robotics Engineering, Protective Gear Design, Biotechnology",15,7,PhD,25,8.0,9.0,12,092
Dr. Rohan Desai,"Guidance & Control Systems, Materials & Metallurgy","Embedded Systems, Algorithm Development, Control Theory, Sensor Fusion, Inertial Navigation, Composite Materials, Nanotechnology",15,3,PhD,10,8.0,9.0,7,093
Aarav Bansal,Armaments & Combat Engineering,"Explosive Chemistry, Testing & Validation, Systems Integration, Ballistics, Mechanical Design",12,2,Masters,5,7.0,8.0,5,094
Dr. Esha Mehta,Cybersecurity & Information Technology,"Network Security, Ethical Hacking, Cryptography, Cyber Defense",18,4,PhD,12,9.0,10.0,4,095
Kavi Rajput,"Simulation & Training, Artificial Intelligence & Machine Learning, Missile & Strategic Systems","Virtual Reality (VR), Flight Simulation, Simulation Modeling, Game Design, Scenario Development, Autonomous Systems, Machine Learning Algorithms, Natural Language Processing, Computer Vision, Predictive Analytics, Propulsion Technology",10,1,Masters,3,6.0,7.0,11,096
Dr. Sahil Chhabria,Aerospace & Aeronautics,"Flight Mechanics, CAD & Simulation, Material Science, Propulsion Systems, Aerodynamics",8,0,PhD,2,5.0,6.0,5,097
Dr. Ananya Jain,"Chemical & Biological Defense, Artificial Intelligence & Machine Learning","Protective Gear Design, Chemical Engineering, Decontamination, Detection Systems, Biotechnology, Predictive Analytics, Computer Vision",16,5,PhD,11,8.0,9.0,7,098
Yash Chopra,Missile & Strategic Systems,"Propulsion Technology, Aerodynamics, Guidance & Control, Simulation & Modeling",14,3,Masters,9,7.0,8.0,4,099
Dr. Neha Seth,"Energy Systems, Life Sciences","Thermal Management, Directed Energy, Renewable Energy, Battery Technology, Power Electronics, Environmental Science, Nutrition Science",12,2,PhD,6,8.0,9.0,7,100
Aman Gandhi,"Cybersecurity & Information Technology, Naval Systems","Cyber Defense, Network Security, Ethical Hacking, Cryptography, Simulation & Modeling, Weapon Integration",22,5,Masters,10,8.0,9.0,6,101
Dr. Isha Kaur,"Materials & Metallurgy, Cybersecurity & Information Technology","Metallurgy, Composite Materials, Material Science, Nanotechnology, Failure Analysis, Cryptography",18,4,PhD,15,9.0,8.0,6,102
Vedant Salgaoncar,Robotics & Autonomous Systems,"Control Systems, AI & Machine Learning, Robotics Engineering, Path Planning",25,6,Masters,12,7.0,9.0,4,103
Dr. Priya Bhattacharya,"Guidance & Control Systems, Robotics & Autonomous Systems","Embedded Systems, Algorithm Development, Sensor Fusion, Control Theory, Inertial Navigation, AI & Machine Learning, Path Planning, Control Systems, Robotics Engineering",20,3,PhD,18,8.0,7.0,9,104
Arjun Bhalla,Energy Systems,"Directed Energy, Battery Technology, Renewable Energy, Thermal Management, Power Electronics",19,5,Masters,11,9.0,8.0,5,105
Dr. Disha Jaiswal,Armaments & Combat Engineering,"Explosive Chemistry, Ballistics, Testing & Validation, Mechanical Design",24,7,PhD,16,7.0,9.0,4,106
Kunal Kapadia,"Simulation & Training, Materials & Metallurgy","Flight Simulation, Game Design, Virtual Reality (VR), Scenario Development, Simulation Modeling, Composite Materials",21,4,Masters,14,8.0,7.0,6,107
Dr. Prerna Jain,Chemical & Biological Defense,"Protective Gear Design, Chemical Engineering, Decontamination, Biotechnology",23,6,PhD,13,9.0,8.0,4,108
Soham Bhattacharya,Energy Systems,"Directed Energy, Power Electronics, Battery Technology, Thermal Management, Renewable Energy",20,5,Masters,10,8.0,9.0,5,109
Dr. Kashish Singhal,"Materials & Metallurgy, Energy Systems","Nanotechnology, Failure Analysis, Metallurgy, Composite Materials, Material Science, Battery Technology, Renewable Energy, Directed Energy",12,7,PhD,23,8.0,9.0,8,110
Keshav Garg,"Nuclear Technology, Life Sciences","Nuclear Weapons Design, Safety Protocols, Radiation Protection, Nuclear Engineering, Nuclear Physics, Physiology, Biomedical Engineering, Biotechnology",15,10,Masters,15,9.0,8.0,8,111
Dr. Sakshi Agarwal,Missile & Strategic Systems,"Simulation & Modeling, Propulsion Technology, Guidance & Control, System Integration, Aerodynamics",10,5,PhD,20,7.0,8.0,5,112
Rishabh Kumar,"Guidance & Control Systems, Energy Systems","Algorithm Development, Inertial Navigation, Sensor Fusion, Control Theory, Embedded Systems, Battery Technology",12,8,Masters,18,9.0,8.0,6,113
Dr. Kritika Maheshwari,Armaments & Combat Engineering,"Explosive Chemistry, Ballistics, Mechanical Design, Systems Integration, Testing & Validation",14,9,PhD,25,8.0,9.0,5,114
Rohit Deshpande,Chemical & Biological Defense,"Protective Gear Design, Detection Systems, Biotechnology, Decontamination, Chemical Engineering",11,6,Masters,19,7.0,8.0,5,115
Dr. Priyanka Chaudhary,"Simulation & Training, Materials & Metallurgy, Artificial Intelligence & Machine Learning","Simulation Modeling, Virtual Reality (VR), Game Design, Scenario Development, Flight Simulation, Composite Materials, Nanotechnology, Material Science, Failure Analysis, Metallurgy, Autonomous Systems, Predictive Analytics",13,11,PhD,22,9.0,9.0,12,116
Sahil Seth,"Missile & Strategic Systems, Chemical & Biological Defense","Guidance & Control, Simulation & Modeling, Aerodynamics, System Integration, Propulsion Technology, Decontamination, Protective Gear Design, Biotechnology",16,12,Masters,24,8.0,9.0,8,117
Dr. Aditi Jain,Artificial Intelligence & Machine Learning,"Computer Vision, Natural Language Processing, Autonomous Systems, Machine Learning Algorithms, Predictive Analytics",14,10,PhD,26,9.0,9.0,5,118
Dr. Yogesh Mehta,"Chemical & Biological Defense, Naval Systems, Electronics & Communication","Biotechnology, Decontamination, Chemical Engineering, Detection Systems, Protective Gear Design, Sonar Technology, Submarine Technology, Weapon Integration, Hydrodynamics, Marine Engineering, Electronic Warfare",12,5,PhD,20,8.0,9.0,11,119
Aniket Sahoo,"Electronics & Communication, Cybersecurity & Information Technology, Robotics & Autonomous Systems","RF Engineering, Electronic Warfare, Antenna Design, Secure Communication, Embedded Systems, Cyber Defense, Ethical Hacking, Simulation & Modeling, Cryptography, Network Security, Path Planning, Robotics Engineering",8,3,Masters,15,7.0,8.0,12,120
Dr. Himanshu Roy,"Missile & Strategic Systems, Life Sciences","Aerodynamics, System Integration, Simulation & Modeling, Guidance & Control, Propulsion Technology, Nutrition Science, Environmental Science, Biotechnology, Biomedical Engineering",15,7,PhD,25,8.0,9.0,9,121
